DSCAM	NM_001271534
DSCAM	NR_073202
DSCAM	NM_001389
MIR99AHG	NR_136542
MIR99AHG	NR_136541
MIR99AHG	NR_027790
MIR99AHG	NR_111004
MIR99AHG	NR_111005
MIR99AHG	NR_136551
MIR99AHG	NR_136552
MIR99AHG	NR_027791
MIR99AHG	NR_136543
MIR99AHG	NR_136544
MIR99AHG	NR_136545
MIR99AHG	NR_136546
MIR99AHG	NR_136550
APP	NM_001136016
APP	NM_000484
APP	NM_001136129
APP	NM_001136130
APP	NM_001204301
APP	NM_001204302
APP	NM_001204303
APP	NM_201413
APP	NM_201414
APP	NM_001136131
ADAMTS5	NM_007038
TIAM1	NM_003253
USP16	NM_006447
LOC339622	NR_046198
USP16	NM_001032410
USP16	NM_001001992
ERG	NM_001243428
IFNAR2	NM_001289128
ERG	NR_111949
MORC3	NM_015358
ERG	NM_182918
MORC3	NM_001320446
MORC3	NM_001320445
DYRK1A	NM_101395
IFNAR2	NM_001289126
IFNAR2	NM_207584
IFNAR2	NM_207585
DYRK1A	NM_130438
ERG	NM_004449
DYRK1A	NM_001396
IFNAR2	NM_001289125
IFNAR2	NM_000874
DYRK1A	NM_130436
ERG	NM_001291391
ERG	NM_001243432
ERG	NM_001243429
ERG	NM_001136155
ERG	NM_001136154
ERG	NM_001331025
RRP1B	NM_015056
TEKT4P2	NR_038327
TEKT4P2	NR_038328
TEKT4P2	NR_038329
ANKRD30BP2	NR_026916
RBM11	NM_001320602
ANKRD20A11P	NR_027270
RBM11	NM_144770
RBM11	NR_135311
RBM11	NR_135310
RBM11	NR_135309
RBM11	NR_135308
SAMSN1	NM_001286523
NRIP1	NM_003489
SAMSN1	NM_001256370
SAMSN1	NM_022136
LOC388813	NM_001256579
USP25	NM_001283041
USP25	NM_001283042
USP25	NM_013396
MIR99AHG	NR_136547
CHODL	NM_001204177
TMPRSS15	NM_002772
CHODL	NM_001204175
CHODL	NM_001204178
CHODL	NM_001204176
MIR548XHG	NR_109925
LINC00320	NR_024090
LINC00320	NR_109786
LINC00320	NR_109787
LINC00320	NR_109788
NCAM2	NM_004540
LOC101927843	NR_109959
LOC101927869	NR_109963
LOC105372751	NR_135520
LOC105372751	NR_135519
GABPA	NM_001197297
GABPA	NM_002040
CYYR1	NM_001320768
CYYR1	NM_052954
CYYR1-AS1	NR_135516
CYYR1-AS1	NR_135515
CYYR1	NR_135472
LINC00113	NR_024357
LOC284825	NR_126010
LOC101927973	NR_126012
MAP3K7CL	NM_020152
MAP3K7CL	NM_001286634
MAP3K7CL	NM_001286624
MAP3K7CL	NM_001286622
MAP3K7CL	NM_001286620
MAP3K7CL	NM_001286619
MAP3K7CL	NM_001286618
MAP3K7CL	NM_001286617
GRIK1	NM_000830
GRIK1	NM_175611
GRIK1	NM_001320616
GRIK1	NM_001320621
GRIK1	NM_001320630
GRIK1	NM_001320618
GRIK1	NM_001330993
GRIK1	NM_001330994
CLDN8	NM_199328
HUNK	NM_014586
EVA1C	NR_135467
SYNJ1	NM_003895
SYNJ1	NM_001160306
URB1	NM_014825
EVA1C	NR_104472
TCP10L	NM_144659
MRAP	NM_206898
EVA1C	NM_001320745
EVA1C	NM_001320744
SYNJ1	NM_001160302
EVA1C	NM_001286556
EVA1C	NM_058187
SYNJ1	NM_203446
CRYZL1	NM_145858
ITSN1	NM_003024
ITSN1	NM_001331008
ITSN1	NM_001331009
ITSN1	NM_001331010
ITSN1	NM_001331011
ITSN1	NM_001331012
ITSN1	NM_001001132
RCAN1	NM_203417
RUNX1	NM_001754
CLIC6	NM_001317009
RCAN1	NM_004414
RCAN1	NM_001285389
CLIC6	NM_053277
RUNX1	NM_001001890
DOPEY2	NM_001320714
DOPEY2	NM_005128
LOC100506403	NR_073512
LOC101928269	NR_110418
LOC100133286	NR_040084
TTC3	NM_001320703
TTC3	NM_001330683
CLDN14	NM_001146078
CLDN14	NM_001146077
HLCS	NM_001242784
HLCS	NM_001242785
HLCS	NM_000411
TTC3	NM_001320704
TTC3	NM_003316
TTC3	NM_001330681
TTC3	NM_001330682
TTC3	NM_001001894
DSCR4	NM_005867
LINC01423	NR_110545
KCNJ6	NM_002240
WRB	NM_004627
WRB-SH3BGR	NM_001317744
BRWD1	NM_018963
BRWD1	NM_033656
WRB	NM_001146218
B3GALT5	NM_001278650
PCP4	NM_006198
IGSF5	NM_001080444
FAM3B	NM_206964
BACE2	NM_012105
FAM3B	NM_058186
TMPRSS2	NM_001135099
BACE2	NM_138991
BACE2	NM_138992
TMPRSS2	NM_005656
UMODL1	NM_001199527
UMODL1	NM_173568
UMODL1	NM_001199528
PRDM15	NR_104257
PRDM15	NR_104260
PRDM15	NR_104258
ABCG1	NM_207627
ABCG1	NM_207628
ABCG1	NM_207629
ABCG1	NM_004915
ABCG1	NM_016818
ABCG1	NM_207174
RSPH1	NM_001286506
RSPH1	NM_080860
PRDM15	NM_001040424
PRDM15	NM_022115
PRDM15	NM_001282934
PRDM15	NR_135464
UMODL1	NM_001004416
PDE9A	NM_001001567
PDE9A	NM_001001568
PDE9A	NM_001001569
PDE9A	NM_001001570
PDE9A	NM_001001571
PDE9A	NM_001001572
PDE9A	NM_001001573
PDE9A	NM_001001574
PDE9A	NM_001001575
PDE9A	NM_001001576
PDE9A	NM_001001577
PDE9A	NM_001001578
PDE9A	NM_001001579
PDE9A	NM_001001580
PDE9A	NM_001001581
PDE9A	NM_001001582
PDE9A	NM_001001583
PDE9A	NM_001001584
PDE9A	NM_001001585
PDE9A	NM_001315533
PDE9A	NM_002606
PKNOX1	NM_001320694
PKNOX1	NM_001286258
PKNOX1	NM_004571
HSF2BP	NM_007031
RRP1	NM_003683
AGPAT3	NM_020132
AGPAT3	NM_001037553
PFKL	NM_001002021
PFKL	NM_002626
TSPEAR	NM_144991
TSPEAR	NM_001272037
TRAPPC10	NM_003274
ADARB1	NM_001112
ADARB1	NR_027674
ADARB1	NR_027673
ADARB1	NR_027672
ADARB1	NM_001160230
ADARB1	NM_015834
COL18A1	NM_130445
LINC00334	NR_135279
COL18A1	NM_030582
COL18A1	NM_130444
ADARB1	NM_015833
ADARB1	NR_073200
ADARB1	NR_144483
ADARB1	NM_001346688
PCBP3	NM_020528
DIP2A	NM_001146116
YBEY	NM_001006114
YBEY	NM_001314026
YBEY	NM_058181
PCNT	NM_006031
PCNT	NM_001315529
PCBP3	NM_001130141
YBEY	NM_001314025
DIP2A	NM_015151
YBEY	NM_001314024
YBEY	NM_001314023
YBEY	NM_001314022
MIR3648-1	NR_037421
MIR3687-2	NR_128714
MIR3687-1	NR_037458
MIR3648-2	NR_128711
TPTE	NM_199259
TPTE	NM_001290224
TPTE	NM_199261
TPTE	NM_199260
BAGE4	NM_181704
BAGE	NM_001187
BAGE3	NM_182481
BAGE5	NM_182484
BAGE2	NM_182482
MIR3156-3	NR_036164
LOC102724188	NR_110544
POTED	NM_174981
MIR3118-1	NR_036061
MIR8069-2	NR_128718
MIR8069-1	NR_107036
CYP4F29P	NR_026755
LIPI	NM_198996
LIPI	NM_001302998
LIPI	NM_001302999
LIPI	NM_001303000
LIPI	NM_001303001
ABCC13	NR_003088
ABCC13	NR_003087
HSPA13	NM_006948
SAMSN1-AS1	NR_046512
MIR99A	NR_029514
MIRLET7C	NR_029480
MIR99AHG	NR_136548
MIR99AHG	NR_136549
MIR125B2	NR_029694
LINC01549	NR_037585
LINC01549	NR_037586
BTG3	NM_001130914
CXADR	NM_001207064
CXADR	NM_001338
CXADR	NM_001207066
CXADR	NM_001207065
CXADR	NM_001207063
BTG3	NM_006806
C21orf91-OT1	NR_038870
C21orf91-OT1	NR_038871
C21orf91	NM_001100420
C21orf91	NM_001100421
C21orf91	NM_017447
CHODL-AS1	NR_024354
CHODL	NM_001204174
CHODL	NM_024944
MIR548X	NR_036166
LINC01425	NR_109958
LINC00317	NR_038872
LINC00308	NR_038400
MIR6130	NR_106746
D21S2088E	NR_040254
LOC105372751	NR_135521
LINC00158	NR_024027
MIR155HG	NR_001458
MIR155	NR_030784
LINC00515	NR_024092
MRPL39	NM_017446
MRPL39	NM_080794
ATP5J	NM_001685
ATP5J	NM_001320267
ATP5J	NM_001320266
JAM2	NM_001270408
JAM2	NM_001270407
JAM2	NR_072999
JAM2	NM_021219
ATP5J	NM_001003697
ATP5J	NM_001003696
ATP5J	NM_001003703
ATP5J	NM_001003701
ADAMTS1	NM_006988
MIR4759	NR_039916
LINC00314	NR_027246
LOC284825	NR_126011
LINC00161	NR_026552
LINC00161	NR_026553
N6AMT1	NR_047510
N6AMT1	NM_013240
N6AMT1	NM_182749
RWDD2B	NM_001320724
LTN1	NM_015565
LTN1	NM_001320766
